_ym,product_category_name_english,payment_value
2016-09,furniture_decor,272.46
2016-09,health_beauty,0.0
2016-10,auto,2716.7
2016-10,bed_bath_table,2291.71
2016-10,computers_accessories,2234.83
2016-10,cool_stuff,1335.41
2016-10,furniture_decor,10669.83
2016-10,garden_tools,1465.19
2016-10,health_beauty,6010.95
2016-10,housewares,2736.52
2016-10,sports_leisure,3927.1099
2016-10,watches_gifts,3468.04
2017-01,auto,9073.75
2017-01,bed_bath_table,5938.87
2017-01,computers_accessories,6441.3203
2017-01,cool_stuff,12212.68
2017-01,furniture_decor,27656.83
2017-01,garden_tools,20851.6
2017-01,health_beauty,13605.39
2017-01,housewares,4501.84
2017-01,sports_leisure,16847.791
2017-01,watches_gifts,8310.83
2017-02,auto,18637.5
2017-02,bed_bath_table,25511.14
2017-02,computers_accessories,15364.87
2017-02,cool_stuff,14946.609
2017-02,furniture_decor,33982.75
2017-02,garden_tools,18380.47
2017-02,health_beauty,27906.95
2017-02,housewares,16926.72
2017-02,sports_leisure,22331.01
2017-02,watches_gifts,12670.59
2017-03,auto,20270.75
2017-03,bed_bath_table,40559.36
2017-03,computers_accessories,39872.402
2017-03,cool_stuff,24132.42
2017-03,furniture_decor,41402.4
2017-03,garden_tools,35577.88
2017-03,health_beauty,32237.17
2017-03,housewares,24916.52
2017-03,sports_leisure,35022.02
2017-03,watches_gifts,29279.68
2017-04,auto,24106.5
2017-04,bed_bath_table,35609.31
2017-04,computers_accessories,26643.94
2017-04,cool_stuff,24959.28
2017-04,furniture_decor,40526.41
2017-04,garden_tools,35962.78
2017-04,health_beauty,28472.59
2017-04,housewares,25920.6
2017-04,sports_leisure,32560.52
2017-04,watches_gifts,25049.94
2017-05,auto,29411.35
2017-05,bed_bath_table,45700.2
2017-05,computers_accessories,82547.97
2017-05,cool_stuff,41186.35
2017-05,furniture_decor,39796.918
2017-05,garden_tools,27046.69
2017-05,health_beauty,59297.15
2017-05,housewares,39362.19
2017-05,sports_leisure,53735.54
2017-05,watches_gifts,43234.41
2017-06,auto,36334.33
2017-06,bed_bath_table,49564.89
2017-06,computers_accessories,58307.2
2017-06,cool_stuff,43175.35
2017-06,furniture_decor,39616.86
2017-06,garden_tools,21299.28
2017-06,health_beauty,42574.39
2017-06,housewares,38584.93
2017-06,sports_leisure,43166.8
2017-06,watches_gifts,31121.39
2017-07,auto,19522.62
2017-07,bed_bath_table,99089.23
2017-07,computers_accessories,70988.19
2017-07,cool_stuff,44252.05
2017-07,furniture_decor,46023.54
2017-07,garden_tools,31495.53
2017-07,health_beauty,49179.25
2017-07,housewares,36053.16
2017-07,sports_leisure,57948.31
2017-07,watches_gifts,41681.82
2017-08,auto,75813.78
2017-08,bed_bath_table,83305.09
2017-08,computers_accessories,62109.96
2017-08,cool_stuff,51311.26
2017-08,furniture_decor,69413.1
2017-08,garden_tools,38217.59
2017-08,health_beauty,60516.81
2017-08,housewares,36241.8
2017-08,sports_leisure,60174.0
2017-08,watches_gifts,41862.41
2017-09,auto,28668.36
2017-09,bed_bath_table,82220.29
2017-09,computers_accessories,60250.5
2017-09,cool_stuff,45539.82
2017-09,furniture_decor,52634.45
2017-09,garden_tools,39349.18
2017-09,health_beauty,66532.58
2017-09,housewares,29653.0
2017-09,sports_leisure,73752.48
2017-09,watches_gifts,57764.22
2017-10,auto,30517.92
2017-10,bed_bath_table,84847.0
2017-10,computers_accessories,88029.07
2017-10,cool_stuff,57457.05
2017-10,furniture_decor,63736.25
2017-10,garden_tools,50641.6
2017-10,health_beauty,52666.1
2017-10,housewares,29800.75
2017-10,sports_leisure,65560.78
2017-10,watches_gifts,75796.2
2017-11,auto,45103.508
2017-11,bed_bath_table,150390.23
2017-11,computers_accessories,132466.77
2017-11,cool_stuff,66547.74
2017-11,furniture_decor,154355.48
2017-11,garden_tools,91562.95
2017-11,health_beauty,100757.09
2017-11,housewares,62612.25
2017-11,sports_leisure,88089.28
2017-11,watches_gifts,113362.64
2017-12,auto,51913.04
2017-12,bed_bath_table,79760.54
2017-12,computers_accessories,55352.508
2017-12,cool_stuff,46072.57
2017-12,furniture_decor,55517.63
2017-12,garden_tools,66896.02
2017-12,health_beauty,74005.03
2017-12,housewares,39935.11
2017-12,sports_leisure,83543.55
2017-12,watches_gifts,80355.64
2018-01,auto,49716.94
2018-01,bed_bath_table,134956.39
2018-01,computers_accessories,147750.3
2018-01,cool_stuff,47903.61
2018-01,furniture_decor,100151.01
2018-01,garden_tools,39568.58
2018-01,health_beauty,92717.24
2018-01,housewares,59927.34
2018-01,sports_leisure,123579.18
2018-01,watches_gifts,102903.36
2018-02,auto,51621.56
2018-02,bed_bath_table,91839.25
2018-02,computers_accessories,206169.14
2018-02,cool_stuff,37148.46
2018-02,furniture_decor,65286.24
2018-02,garden_tools,47659.742
2018-02,health_beauty,113712.7
2018-02,housewares,55973.01
2018-02,sports_leisure,101748.35
2018-02,watches_gifts,73137.93
2018-03,auto,58001.38
2018-03,bed_bath_table,117155.94
2018-03,computers_accessories,142383.34
2018-03,cool_stuff,44411.14
2018-03,furniture_decor,123183.03
2018-03,garden_tools,53498.89
2018-03,health_beauty,114107.37
2018-03,housewares,76127.66
2018-03,sports_leisure,121059.38
2018-03,watches_gifts,109844.19
2018-04,auto,65596.87
2018-04,bed_bath_table,124080.28
2018-04,computers_accessories,90697.26
2018-04,cool_stuff,43428.15
2018-04,furniture_decor,103198.46
2018-04,garden_tools,51696.86
2018-04,health_beauty,120060.46
2018-04,housewares,68836.7
2018-04,sports_leisure,99343.16
2018-04,watches_gifts,108113.3
2018-05,auto,49894.52
2018-05,bed_bath_table,118463.3
2018-05,computers_accessories,94781.19
2018-05,cool_stuff,37591.07
2018-05,furniture_decor,101635.59
2018-05,garden_tools,58515.27
2018-05,health_beauty,136101.47
2018-05,housewares,125963.01
2018-05,sports_leisure,76891.06
2018-05,watches_gifts,149501.3
2018-06,auto,57049.67
2018-06,bed_bath_table,115669.83
2018-06,computers_accessories,69253.664
2018-06,cool_stuff,22459.11
2018-06,furniture_decor,74239.98
2018-06,garden_tools,32927.81
2018-06,health_beauty,143788.3
2018-06,housewares,94620.1
2018-06,sports_leisure,69173.63
2018-06,watches_gifts,107172.54
2018-07,auto,55222.31
2018-07,bed_bath_table,97339.3
2018-07,computers_accessories,61620.8
2018-07,cool_stuff,40922.27
2018-07,furniture_decor,86061.98
2018-07,garden_tools,38552.37
2018-07,health_beauty,140371.11
2018-07,housewares,121177.38
2018-07,sports_leisure,81068.07
2018-07,watches_gifts,108303.94
2018-08,auto,58414.36
2018-08,bed_bath_table,99150.39
2018-08,computers_accessories,59296.12
2018-08,cool_stuff,19450.17
2018-08,furniture_decor,80237.02
2018-08,garden_tools,25476.12
2018-08,health_beauty,158354.64
2018-08,housewares,86854.58
2018-08,sports_leisure,65992.42
2018-08,watches_gifts,83593.94
